N_arv;UPA;UT;Nome_Cientifico;Nome_Popular;DAP_cm;Alt;Categoria;QF;Vol;g;lat;lon
40503;6;4;Vochysia maxima;Quaruba;54,43;15;Explorar;1;2,4988;0,2327;-5,910075;-54,954171
40504;6;4;Simarouba amara;Marupá;80,85;20;Explorar;2;7,0858;0,5134;-5,910473;-54,953994
40505;6;4;Manilkara elata;Maçaranduba;46,79;19;Remanescente;1;2,0732;0,172;-5,910501;-54,954067
40506;6;4;Manilkara elata;Maçaranduba;78,62;22;Explorar;1;7,1932;0,4855;-5,910516;-54,954046
40507;6;4;Astronium lecointei;Muiracatiara;74,17;24;Explorar;1;6,8274;0,432;-5,91066;-54,954129
40508;6;4;Chrysophyllum lucentifolium;Goiabão;41,06;15;Remanescente;1;1,2554;0,1324;-5,910785;-54,954153
40509;6;4;Cedrela odorata;Cedro-vermelho;46,15;17;Remanescente;1;1,8486;0,1673;-5,910989;-54,954107
40510;6;4;Manilkara elata;Maçaranduba;69,39;21;Explorar;1;5,4214;0,3782;-5,911044;-54,95405
40511;6;4;Bertholletia excelsa;Castanheira;94,54;25;Remanescente;1;11,0686;0,7019;-5,911245;-54,954005
40512;6;4;Couratari guianensis;Tauari;59,84;22;Explorar;1;4,0881;0,2813;-5,91198;-54,954115
40513;6;4;Chrysophyllum lucentifolium;Goiabão;48,7;17;Remanescente;1;2,1074;0,1863;-5,912677;-54,954126
40514;6;4;Apuleia leiocarpa;Garapeira;104,09;21;Explorar;1;11,5062;0,8509;-5,912522;-54,954364
40515;6;4;Handroanthus serratifolius;Ipê-amarelo;78,3;26;Remanescente;1;8,0419;0,4816;-5,912244;-54,954232
40516;6;4;Cedrelinga cateniformis;Cedroarana;76,71;21;Explorar;2;6,6313;0,4622;-5,911544;-54,954392
40517;6;4;Castilla ulei;Caucho;54,75;14;Remanescente;1;2,4068;0,2354;-5,91147;-54,954422
40518;6;4;Manilkara elata;Maçaranduba;49,34;17;Remanescente;1;2,1743;0,1912;-5,911058;-54,954338
40519;6;4;Caryocar villosum;Pequiá;69,71;16;Explorar;1;4,4908;0,3817;-5,911004;-54,954363
40520;6;4;Handroanthus impetiginosum;Ipê-roxo;109,82;24;Explorar;1;13,8165;0,9472;-5,909856;-54,954481
40521;6;4;Couratari guianensis;Tauari;106,32;24;Explorar;1;13,1116;0,8877;-5,909734;-54,95441
