Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 1984-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);
1984-12-22;0;27,28;93,25;
1984-12-23;0;26,36;96;
1984-12-24;0;26,12;96,5;
1984-12-25;6,2;26,82;96,25;
1984-12-26;0;26,86;96,5;
1984-12-27;2,1;27,3;94,25;
1984-12-28;0;26,94;95;
1984-12-29;0;26,62;98;
1984-12-30;0;27;95,75;
1984-12-31;,2;26,16;95,5;
1985-01-01;1,2;25,14;null;
1985-01-02;0;24,72;null;
1985-01-03;41,4;24,62;null;
1985-01-04;6;25,26;null;
1985-01-05;14,2;24,3;null;
1985-01-06;9,4;24,66;null;
1985-01-07;0;24,88;null;
1985-01-08;1,1;25,72;null;
1985-01-09;24;24,92;null;
1985-01-10;51;24,36;null;
1985-01-11;13,6;23,38;null;
1985-01-12;8,2;24,26;null;
1985-01-13;0;25,46;null;
1985-01-14;29,1;24,6;null;
1985-01-15;8,1;24,34;null;
1985-01-16;0;24,92;null;
1985-01-17;32,2;23,24;null;
1985-01-18;36;23,72;null;
1985-01-19;27,5;24,68;null;
1985-01-20;6,5;24,7;null;
1985-01-21;1,8;24,12;null;
1985-01-22;57,1;22,78;null;
1985-01-23;5,3;23,92;null;
1985-01-24;57,7;23,22;null;
1985-01-25;,5;25,54;null;
1985-01-26;0;25,08;null;
1985-01-27;3;23,58;null;
1985-01-28;11,7;24,3;null;
1985-01-29;30,8;22,7;null;
1985-01-30;4,4;24,72;null;
1985-01-31;2,1;23,48;null;
1985-02-01;10,6;23,44;null;
1985-02-02;19,8;25,7;null;
1985-02-03;11,4;24,28;null;
1985-02-04;47,9;24,14;null;
1985-02-05;0;24,88;null;
1985-02-06;0;24,94;null;
1985-02-07;3,2;25,98;null;
1985-02-08;18,6;25,72;null;
1985-02-09;17,1;24,76;null;
1985-02-10;21,5;24,48;null;
1985-02-11;2,9;24,82;null;
1985-02-12;3,2;25,12;null;
1985-02-13;14,6;24,74;null;
1985-02-14;11;24,28;null;
1985-02-15;,2;24,7;null;
1985-02-16;6,4;24,88;null;
1985-02-17;3;25,16;null;
1985-02-18;19,6;23,66;null;
1985-02-19;57,3;24,2;null;
1985-02-20;11,2;23,94;null;
1985-02-21;16,7;25,38;null;
1985-02-22;1;25,84;null;
1985-02-23;0;23,86;null;
1985-02-24;25,9;24,32;null;
1985-02-25;14,2;25,14;null;
1985-02-26;0;26,9;null;
1985-02-27;0;26,48;null;
1985-02-28;,2;25,3;null;
1985-03-01;,2;27,32;null;
1985-03-02;0;25,06;null;
1985-03-03;9,1;25,8;null;
1985-03-04;4,3;25,84;null;
1985-03-05;7,8;25,12;null;
1985-03-06;13,5;25,46;null;
1985-03-07;9;25,16;null;
1985-03-08;4,1;26,2;null;
1985-03-09;21;24,5;null;
1985-03-10;17,3;25,74;null;
1985-03-11;,3;26,48;null;
1985-03-12;0;26,48;null;
1985-03-13;0;25,06;null;
1985-03-14;8,2;25,96;null;
1985-03-15;0;25,88;null;
1985-03-16;,4;26,56;null;
1985-03-17;10,6;24,4;null;
1985-03-18;1,3;25,68;null;
1985-03-19;4,8;25,62;null;
1985-03-20;0;25,92;null;
1985-03-21;,6;26,16;null;
1985-03-22;12,8;25,2;null;
1985-03-23;1,5;24,26;null;
1985-03-24;3;25,76;null;
1985-03-25;0;27,02;null;
1985-03-26;2,5;26,14;null;
1985-03-27;16,2;26,92;null;
1985-03-28;,3;25,9;null;
1985-03-29;19,2;26,16;null;
1985-03-30;4,6;25,46;null;
1985-03-31;19,9;25,92;null;
1985-04-01;0;25,02;null;
1985-04-02;26,7;25,22;null;
1985-04-03;0;24,54;null;
1985-04-04;2,4;23,96;null;
1985-04-05;9,2;26,16;null;
1985-04-06;0;26,6;null;
1985-04-07;,6;23,92;null;
1985-04-08;11;25,46;null;
1985-04-09;0;25,54;null;
1985-04-10;1,3;24,18;null;
1985-04-11;3,5;25,2;null;
1985-04-12;29,8;23,96;null;
1985-04-13;4,6;25,12;null;
1985-04-14;3,3;24,94;null;
1985-04-15;40;24,06;null;
1985-04-16;38;25,78;null;
1985-04-17;0;25,52;null;
1985-04-18;6,6;26,4;null;
1985-04-19;,3;26,26;null;
1985-04-20;10,6;26,14;null;
1985-04-21;16;23,4;null;
1985-04-22;43,3;25,24;null;
1985-04-23;0;23,98;null;
1985-04-24;3;25,98;null;
1985-04-25;7,3;26,04;null;
1985-04-26;2,6;27,28;null;
1985-04-27;0;26,76;null;
1985-04-28;18,2;24,52;null;
1985-04-29;0;25,9;null;
1985-04-30;3,1;26;null;
1985-05-01;3,6;25,1;null;
1985-05-02;3;26,18;null;
1985-05-03;0;26,46;null;
1985-05-04;0;25,52;null;
1985-05-05;,4;25,88;null;
1985-05-06;0;26,32;null;
1985-05-07;13,3;26,4;null;
1985-05-08;0;26,28;null;
1985-05-09;0;27,26;null;
1985-05-10;,4;25,52;null;
1985-05-11;13,1;22,66;null;
1985-05-12;0;25,78;null;
1985-05-13;13,4;25,58;null;
1985-05-14;0;26,3;null;
1985-05-15;8;26,24;null;
1985-05-16;0;26,64;null;
1985-05-17;0;26,16;null;
1985-05-18;0;26,12;null;
1985-05-19;0;25,78;null;
1985-05-20;0;25,94;null;
1985-05-21;0;26,56;null;
1985-05-22;0;26,96;null;
1985-05-23;0;26,84;null;
1985-05-24;0;26,22;null;
1985-05-25;11,5;26,42;null;
1985-05-26;0;26,14;null;
1985-05-27;0;26,3;null;
1985-05-28;0;26,28;null;
1985-05-29;0;26,26;null;
1985-05-30;0;26,38;null;
1985-05-31;0;26,56;null;
1985-06-01;0;26,38;null;
1985-06-02;0;26,56;null;
1985-06-03;0;26,96;null;
1985-06-04;0;27,32;null;
1985-06-05;1,9;26,52;null;
1985-06-06;0;26,12;null;
1985-06-07;0;25,74;null;
1985-06-08;0;24,9;null;
1985-06-09;0;23,66;null;
1985-06-10;0;22,82;null;
1985-06-11;0;23,26;null;
1985-06-12;0;26,1;null;
1985-06-13;,5;26,52;null;
1985-06-14;0;26,24;null;
1985-06-15;0;26,28;null;
1985-06-16;0;26,76;null;
1985-06-17;0;27,36;null;
1985-06-18;0;26,7;null;
1985-06-19;0;26,48;null;
1985-06-20;1,1;25,76;null;
1985-06-21;0;25,32;null;
1985-06-22;0;25,88;null;
1985-06-23;0;27,22;null;
1985-06-24;0;26,76;null;
1985-06-25;0;25,74;null;
1985-06-26;0;25,2;null;
